"Dzień","Liczba zwierząt","Liczba traw","Średni poziom energii","Średnia długość życia","Średnia liczba dzieci"
"0","2","1","100.0","0.0","0.0"
"1","2","2","99.0","0.0","0.0"
"2","2","4","113.0","0.0","0.0"
"3","2","5","112.0","0.0","0.0"
"4","2","5","112.0","0.0","0.0"
"5","2","5","126.0","0.0","0.0"
"6","2","5","126.0","0.0","0.0"
"7","2","6","125.0","0.0","0.0"
"8","2","6","125.0","0.0","0.0"
"9","2","7","124.0","0.0","0.0"
"10","2","7","124.0","0.0","0.0"
"11","2","7","123.0","0.0","0.0"
"12","2","7","123.0","0.0","0.0"
"13","2","7","137.0","0.0","0.0"
"14","2","7","151.0","0.0","0.0"
"15","2","7","151.0","0.0","0.0"
"16","2","7","150.0","0.0","0.0"
"17","2","7","164.0","0.0","0.0"
"18","2","7","164.0","0.0","0.0"
"19","2","7","178.0","0.0","0.0"
"20","2","7","178.0","0.0","0.0"
"21","2","7","177.0","0.0","0.0"
"22","2","7","177.0","0.0","0.0"
"23","2","6","206.0","0.0","0.0"
"24","2","6","206.0","0.0","0.0"
"25","2","7","205.0","0.0","0.0"
"26","2","7","205.0","0.0","0.0"
"27","2","7","234.0","0.0","0.0"
"28","2","7","234.0","0.0","0.0"
"29","2","7","248.0","0.0","0.0"
"30","2","7","248.0","0.0","0.0"
"31","2","7","248.0","0.0","0.0"
"32","2","7","247.0","0.0","0.0"
"33","2","7","247.0","0.0","0.0"
"34","2","6","276.0","0.0","0.0"
"35","2","6","276.0","0.0","0.0"
"36","2","6","276.0","0.0","0.0"
"37","2","7","275.0","0.0","0.0"
"38","2","7","275.0","0.0","0.0"
"39","2","7","274.0","0.0","0.0"
"40","2","7","274.0","0.0","0.0"
"41","2","7","273.0","0.0","0.0"
"42","2","7","273.0","0.0","0.0"
"43","2","7","273.0","0.0","0.0"
"44","2","7","287.0","0.0","0.0"
"45","2","7","287.0","0.0","0.0"
"46","2","7","286.0","0.0","0.0"
"47","2","7","286.0","0.0","0.0"
"48","2","7","285.0","0.0","0.0"
"49","2","7","285.0","0.0","0.0"
"50","2","7","299.0","0.0","0.0"
"51","2","7","299.0","0.0","0.0"
"52","3","8","198.66666666666666","0.0","0.6666666666666666"
"53","3","8","198.66666666666666","0.0","0.6666666666666666"
"54","3","8","198.66666666666666","0.0","0.6666666666666666"
"55","4","7","155.75","0.0","1.0"
"56","4","7","155.75","0.0","1.0"
"57","5","7","123.8","0.0","1.2"
"58","5","7","123.8","0.0","1.2"
"59","6","5","117.33333333333333","0.0","1.3333333333333333"
"60","6","5","117.33333333333333","0.0","1.3333333333333333"
"61","7","6","99.71428571428571","0.0","1.4285714285714286"
"62","7","6","99.71428571428571","0.0","1.4285714285714286"
"63","8","6","86.375","0.0","1.5"
"64","8","6","86.375","0.0","1.5"
"65","8","4","96.625","0.0","1.5"
"66","8","4","96.625","0.0","1.5"
"67","8","4","99.375","0.0","1.5"
"68","8","4","98.375","0.0","1.5"
"69","8","4","98.375","0.0","1.5"
"70","8","4","98.375","0.0","1.5"
"71","9","4","86.55555555555556","0.0","1.5555555555555556"
"72","10","5","77.0","0.0","1.6"
"73","10","5","77.0","0.0","1.6"
"74","10","5","77.0","0.0","1.6"
"75","11","4","71.81818181818181","0.0","1.6363636363636365"
"76","11","4","71.81818181818181","0.0","1.6363636363636365"
"77","12","5","64.91666666666667","0.0","1.6666666666666667"
"78","13","4","63.61538461538461","0.0","1.6923076923076923"
"79","13","4","63.61538461538461","0.0","1.6923076923076923"
"80","13","4","63.61538461538461","0.0","1.6923076923076923"
"81","15","3","56.266666666666666","0.0","1.7333333333333334"
"82","15","3","56.266666666666666","0.0","1.7333333333333334"
"83","15","3","57.266666666666666","0.0","1.7333333333333334"
"84","15","3","57.266666666666666","0.0","1.7333333333333334"
"85","16","3","54.625","0.0","1.75"
"86","16","3","54.625","0.0","1.75"
"87","17","2","52.23529411764706","0.0","1.7647058823529411"
